type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,TC,BASE,TC_BASE,kronecker,16,262144,79339483,0,0,0,0,125.208,125.208,0,1212.62,1212.62,37252480120
RRR,TC,BF,TC_BF,kronecker,16,262144,79339483,0.01,1,1286,3.219,2.91013,6.12914,45,1212.62,1257.62,16957403112
RRR,TC,1H,TC_1H,kronecker,16,1048576,645584775,0.001,492,0,6.41738,179.315,185.733,1984,9858.84,11842.8,896779954548
RRR,TC,BF,TC_BF,kronecker,16,262144,136157924,0.0001,1,32,5.71432,1.7258,7.44011,6,2079.61,2085.61,5740936
RRR,TC,BF,TC_BF,kronecker,16,262144,136157924,0.003,1,467,5.38263,3.01369,8.39632,19.5,2079.61,2099.11,5185608613
RRR,TC,BF,TC_BF,kronecker,16,262144,136157924,0.1,1,15569,5.78708,36.6416,42.4287,491.5,2079.61,2571.11,97548206014
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,16,262144,136157924,0,0,0,113.035,135.592,248.627,0,2079.61,2079.61,1752502556
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,16,262144,79339483,0,0,0,47.6288,54.1998,101.829,0,1212.62,1212.62,1219558408
RRR,TC,1H,TC_1H,kronecker,16,262144,79339483,0.0001,12,0,0.267732,0.974573,1.24231,16,1212.62,1228.62,64700208036
RRR,TC,BASE,TC_BASE,kronecker,16,1048576,3124782991,0,0,0,0,33555.9,33555.9,0,23848.2,23848.2,14121559884286
RRR,TC,BF,TC_BF,kronecker,16,262144,136157924,0.03,1,4670,5.95297,12.4112,18.3641,150.75,2079.61,2230.36,92814448885
RRR,TC,1H,TC_1H,kronecker,16,262144,136157924,0.0001,15,0,0.410777,1.84871,2.25949,19,2079.61,2098.61,86695735166
RRR,TC,BF,TC_BF,kronecker,16,1048576,645584775,0.001,1,492,26.4467,16.9829,43.4296,81,9858.84,9939.84,12139155420
RRR,TC,BF,TC_BF,kronecker,16,1048576,645584775,0.001,1,492,26.4467,16.9829,43.4296,81,9858.84,9939.84,12139155420
RRR,TC,1H,TC_1H,kronecker,16,262144,79339483,0.03,3858,0,20.0673,74.8399,94.9072,3862,1212.62,5074.62,111675863409
RRR,TC,BF,TC_BF,kronecker,16,262144,79339483,3e-05,1,32,3.22818,1.06787,4.29605,6,1212.62,1218.62,7317404
RRR,TC,BASE,TC_BASE,kronecker,16,1048576,645584775,0,0,0,0,2657.97,2657.97,0,4933.42,4933.42,768274118932
RRR,TC,BF,TC_BF,kronecker,16,1048576,645584775,0.01,1,4929,25.5339,68.0297,93.5636,636,9858.84,10494.8,541222425161
RRR,TC,1H,TC_1H,kronecker,16,262144,136157924,0.03,4670,0,19.546,171.667,191.213,4674,2079.61,6753.61,270571785254
RRR,TC,BF,TC_BF,kronecker,16,262144,136157924,0.001,1,155,5.3927,2.10905,7.50175,9.75,2079.61,2089.36,398200524
RRR,TC,BASE,TC_BASE,kronecker,16,262144,136157924,0,0,0,0,303.168,303.168,0,2079.61,2079.61,102947427966
RRR,TC,BF,TC_BF,kronecker,16,262144,136157924,0.3,1,46709,6.80119,104.949,111.75,1464.5,2079.61,3544.11,105362162310
RRR,TC,1H,TC_1H,kronecker,16,262144,79339483,0.001,128,0,0.565792,6.17959,6.74538,132,1212.62,1344.62,38814394383
RRR,TC,BF,TC_BF,kronecker,16,262144,136157924,0.5,1,77849,7.5962,168.55,176.146,2437.75,2079.61,4517.36,105214501380
RRR,TC,BF,TC_BF,kronecker,16,262144,79339483,1,1,128627,7.08635,170.139,177.225,4024.5,1212.62,5237.12,36501969193
RRR,TC,1H,TC_1H,kronecker,16,262144,136157924,0.003,467,0,1.917,33.9943,35.9113,471,2079.61,2550.61,126203227507
RRR,TC,BASE,TC_BASE,kronecker,16,262144,370319570,0,0,0,0,1510.01,1510.01,0,5652.63,5652.63,652884307493
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,16,262144,136157924,0,0,0,107.521,131.542,239.063,0,2079.61,2079.61,1700175144
RRR,TC,1H,TC_1H,kronecker,16,262144,136157924,0.3,46709,0,31.6976,292.576,324.274,46713,2079.61,48792.6,644142347248
RRR,TC,BF,TC_BF,kronecker,16,262144,79339483,0.0003,1,38,3.22511,0.957815,4.18293,6,1212.62,1218.62,11185013
RRR,TC,BF,TC_BF,kronecker,16,262144,136157924,0.01,1,1556,4.53217,5.48292,10.0151,53.5,2079.61,2133.11,45433491455
RRR,TC,1H,TC_1H,kronecker,16,262144,79339483,0.1,12862,0,25.256,107.606,132.862,12866,1212.62,14078.6,205179088863
RRR,TC,1H,TC_1H,kronecker,16,262144,79339483,3e-05,3,0,0.239398,0.408237,0.647635,7,1212.62,1219.62,28208177443
RRR,TC,BF,TC_BF,kronecker,16,262144,136157924,3e-05,1,32,5.41666,1.9037,7.32036,6,2079.61,2085.61,6080575
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,16,262144,370319570,0,0,0,504.071,654.414,1158.49,0,5652.63,5652.63,619312476
RRR,TC,1H,TC_1H,kronecker,16,262144,79339483,1,128627,0,25.9646,127.515,153.479,128631,1212.62,129844,276305984113
RRR,TC,BF,TC_BF,kronecker,16,262144,79339483,0.003,1,385,3.20384,1.63168,4.83551,17,1212.62,1229.62,2680298952
RRR,TC,1H,TC_1H,kronecker,16,262144,79339483,0.003,385,0,1.88264,15.9835,17.8661,389,1212.62,1601.62,46051130533
RRR,TC,DOULION,TC_DOULION,kronecker,16,1048576,645584775,0,0,0,604.965,2026.98,2631.95,0,9858.84,9858.84,681234496
RRR,TC,1H,TC_1H,kronecker,16,262144,79339483,0.5,64313,0,25.92,125.534,151.454,64317,1212.62,65529.6,272603165703
RRR,TC,BF,TC_BF,kronecker,16,262144,79339483,2,1,257254,10.4078,340.918,351.326,8044,1212.62,9256.62,37238081490
RRR,TC,1H,TC_1H,kronecker,16,262144,136157924,0.001,155,0,0.720685,12.9819,13.7026,159,2079.61,2238.61,124411816443
RRR,TC,BASE,TC_BASE,kronecker,16,1048576,1893280332,0,0,0,0,16575,16575,0,28897.2,28897.2,5660760212545
RRR,TC,1H,TC_1H,kronecker,16,262144,79339483,2,257254,0,23.8129,128.003,151.816,257258,1212.62,258471,276305984113
RRR,TC,1H,TC_1H,kronecker,16,262144,136157924,0.0003,46,0,0.456337,4.27615,4.73248,50,2079.61,2129.61,117175141091
RRR,TC,DOULION,TC_DOULION,kronecker,16,262144,370319570,0,0,0,269.993,1037.83,1307.82,0,5652.63,5652.63,-2147483648
RRR,TC,1H,TC_1H,kronecker,16,262144,136157924,0.5,77849,0,25.0406,299.745,324.785,77853,2079.61,79932.6,665671424801
RRR,TC,1H,TC_1H,kronecker,16,262144,136157924,3e-05,4,0,0.390666,0.802574,1.19324,8,2079.61,2087.61,66972763733
RRR,TC,BF,TC_BF,kronecker,16,262144,79339483,0.1,1,12862,3.57057,18.1534,21.724,406.75,1212.62,1619.37,33155715112
RRR,TC,1H,TC_1H,kronecker,16,262144,136157924,0.1,15569,0,25.5099,257.372,282.882,15573,2079.61,17652.6,501590140403
RRR,TC,BASE,TC_BASE,kronecker,16,1048576,645584775,0,0,0,0,2958.61,2958.61,0,9858.84,9858.84,768274118932
RRR,TC,BF,TC_BF,kronecker,16,1048576,1893280332,0.001,1,698,72.4489,58.4481,130.897,107,28897.2,29004.2,33560469969
RRR,TC,BF,TC_BF,kronecker,16,262144,79339483,0.5,1,64313,5.1393,85.1494,90.2887,2014.75,1212.62,3227.37,37545344423
RRR,TC,COLORFUL,TC_COLORFUL,kronecker,16,1048576,645584775,0,0,0,1155,1312.28,2467.28,0,9858.84,9858.84,-152343000
RRR,TC,BF,TC_BF,kronecker,16,262144,370319570,0.001,1,204,14.4419,5.92937,20.3712,11.25,5652.63,5663.88,660197856
RRR,TC,BF,TC_BF,kronecker,16,262144,79339483,0.03,1,3858,3.30471,6.17336,9.47807,125.5,1212.62,1338.12,34909332033
RRR,TC,BF,TC_BF,kronecker,16,262144,79339483,0.3,1,38588,4.39477,49.5286,53.9234,1210.75,1212.62,2423.37,37090069686
RRR,TC,BF,TC_BF,kronecker,16,262144,136157924,0.0003,1,46,5.41934,1.67465,7.09399,6.25,2079.61,2085.86,14124039
RRR,TC,1H,TC_1H,kronecker,16,262144,79339483,0.01,1286,0,10.0338,39.8615,49.8954,1290,1212.62,2502.62,61825007421
RRR,TC,BF,TC_BF,kronecker,16,262144,136157924,2,1,311398,14.6236,680.817,695.44,9736,2079.61,11815.6,102604274750
RRR,TC,1H,TC_1H,kronecker,16,262144,370319570,0.001,204,0,1.38593,46.4641,47.8501,208,5652.63,5860.63,734246006081
RRR,TC,1H,TC_1H,kronecker,16,262144,79339483,0.0003,38,0,0.293129,2.12092,2.41405,42,1212.62,1254.62,36975994637
RRR,TC,1H,TC_1H,kronecker,16,262144,79339483,0.3,38588,0,26.5136,122.157,148.671,38592,1212.62,39804.6,262286411160
RRR,TC,BF,TC_BF,kronecker,16,262144,79339483,0.0001,1,32,3.23205,1.20895,4.44101,6,1212.62,1218.62,6202594
RRR,TC,BF,TC_BF,kronecker,16,262144,136157924,1,1,155699,9.72942,351.65,361.379,4870.5,2079.61,6950.11,103094974576
RRR,TC,1H,TC_1H,kronecker,16,1048576,1893280332,0.001,698,0,10.1819,751.486,761.668,2808,28897.2,31705.2,6683642776423
RRR,TC,1H,TC_1H,kronecker,16,262144,136157924,1,155699,0,27.918,293.615,321.533,155703,2079.61,157783,672698143562
RRR,TC,1H,TC_1H,kronecker,16,262144,136157924,2,311398,0,25.6307,306.978,332.609,311402,2079.61,313482,672698143562
RRR,TC,BF,TC_BF,kronecker,16,262144,79339483,0.001,1,128,3.21762,1.15643,4.37405,9,1212.62,1221.62,199822501
RRR,TC,BF,TC_BF,kronecker,16,262144,79339483,0.001,1,128,3.21762,1.15643,4.37405,9,1212.62,1221.62,199822501
RRR,TC,1H,TC_1H,kronecker,16,262144,136157924,0.01,1556,0,7.59196,87.721,95.313,1560,2079.61,3639.61,159215936364
RRR,TC,DOULION,TC_DOULION,kronecker,16,262144,136157924,0,0,0,62.2159,203.992,266.208,0,2079.61,2079.61,-1614110281
